Id,SectionId,LevelName,Type,VideoUrl,DateIssued
1308,9,03 - CA Civ Pro Distinctions,1,https://youtu.be/JJG-pvAedM4,1900-01-01 00:00:00.0000000
1309,9,04 - CA SLAPP,1,https://youtu.be/v3_d2No0tFE,1900-01-01 00:00:00.0000000
1310,9,05 - Wills & Trusts,1,https://youtu.be/-1UU3ajjUOk,1900-01-01 00:00:00.0000000
1311,9,06 - Interlineation Video,1,https://youtu.be/j7yJbTl_RZM,1900-01-01 00:00:00.0000000
1312,9,07 - Bus Assoc,1,https://youtu.be/AWQ6hVjYS14,1900-01-01 00:00:00.0000000
1313,9,08 - Fiduciary Duties,1,https://youtu.be/cQ02bKcaGjw,1900-01-01 00:00:00.0000000
1314,9,09 - Prof Resp,1,https://youtu.be/-AzCv4WGAQc,1900-01-01 00:00:00.0000000
1315,9,10 - CA Prof Resp Distinctions,1,https://youtu.be/iygAPTJn3Dw,1900-01-01 00:00:00.0000000
1316,9,11 - Crimes,1,https://youtu.be/hkoSxKwxcn8,1900-01-01 00:00:00.0000000
1317,9,12 - Evidence,1,https://youtu.be/2gv8HOF1kn8,1900-01-01 00:00:00.0000000
1318,9,13 - CA Evidence Distinctions,1,https://youtu.be/JfIZvGlBbDM,1900-01-01 00:00:00.0000000
1319,9,14 - Torts A,1,https://youtu.be/ms1nLVEJa6U,1900-01-01 00:00:00.0000000
1320,9,15 - Torts B,1,https://youtu.be/VYgceJMEOiA,1900-01-01 00:00:00.0000000
1321,9,16 - Remedies,1,https://youtu.be/c0OLIExZC9g,1900-01-01 00:00:00.0000000
1322,9,17 - Contracts,1,https://youtu.be/hmQc6vnwd9s,1900-01-01 00:00:00.0000000
1323,9,18 - Comm Prop,1,https://youtu.be/NVkc-VbSDKM,1900-01-01 00:00:00.0000000
1324,9,19 - Van Camp & Pereira,1,https://youtu.be/8DmXWQgZIpM,1900-01-01 00:00:00.0000000
1325,9,20 - Real Prop,1,https://youtu.be/fGC3tR9vjj8,1900-01-01 00:00:00.0000000
2073,9,2/21 - Q4 - Prof Resp,0,,1900-01-01 00:00:00.0000000
2074,9,2/21 - Q3 - Comm Prop,0,,1900-01-01 00:00:00.0000000
2075,9,2/21 - Q2 - Contr Rem,0,,1900-01-01 00:00:00.0000000
2076,9,2/21 - Q1 - CA Civ Evi,0,,1900-01-01 00:00:00.0000000
2077,9,11/20 - Q4 - Contract UCC,0,,1900-01-01 00:00:00.0000000
2078,9,11/20 - Q3 - Tort SPL,0,,1900-01-01 00:00:00.0000000
2079,9,11/20 - Q2 - Contract CL,0,,1900-01-01 00:00:00.0000000
2080,9,11/20 - Q1 - Crimes,0,,1900-01-01 00:00:00.0000000
2081,9,10/20 - Q5 - Contr Rem,0,,1900-01-01 00:00:00.0000000
2082,9,10/20 - Q4 - Crimes,0,,1900-01-01 00:00:00.0000000
2083,9,10/20 - Q3 - RP Adv Pos,0,,1900-01-01 00:00:00.0000000
2084,9,10/20 - Q2 - Corps,0,,1900-01-01 00:00:00.0000000
2085,9,10/20 - Q1 - Prof Resp,0,,1900-01-01 00:00:00.0000000
2086,9,6/20 - Q4 - Tort TTL,0,,1900-01-01 00:00:00.0000000
2087,9,6/20 - Q3 - Crim Law,0,,1900-01-01 00:00:00.0000000
2088,9,6/20 - Q2 - Contract UCC,0,,1900-01-01 00:00:00.0000000
2089,9,6/20 - Q1 - Tort Negl,0,,1900-01-01 00:00:00.0000000
2090,9,2/20 - Q5 - BA Partner,0,,1900-01-01 00:00:00.0000000
2091,9,2/20 - Q4 - CA Evi Crim,0,,1900-01-01 00:00:00.0000000
2092,9,2/20 - Q3 - Contracts CL,0,,1900-01-01 00:00:00.0000000
